gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
POTEI,307.6605431460682,-1.3345412361249946,0.31702563958944313,1.0620982787122438e-6,8.064558408448099e-4
MICAL2,933.5637449581977,-1.2054507240677292,0.2874464397411885,1.1525787692324133e-6,8.386931510781194e-4
NIBAN1,2600.371483909785,-1.05302343800487,0.2551336906573071,1.5807702817049678e-6,0.0011042628879878221
RPL7P9,33557.104257502615,0.8139531716252485,0.19829810778689444,1.8026973112013107e-6,0.0012108579170315265
CD24,1718.7034144762038,0.8843744146622965,0.2170672116079435,2.1394807377615355e-6,0.0013766101382593405
LRIG1,698.8040972124824,-1.200808657110747,0.2971887900041068,2.207116575312731e-6,0.0013766101382593405
RPL7P1,8162.0321795858135,0.7581859795544923,0.18831084587536753,2.7811528263928318e-6,0.001586113561356874
RN7SL4P,1235.887544217526,-1.264441679976155,0.3177581256547607,2.7935726629820284e-6,0.001586113561356874
ZNF460,204.5489274446253,-1.5848372645116762,0.39908642567852987,2.8154787220604156e-6,0.001586113561356874
CLDN11,935.529748357465,0.9925546616165607,0.2527754831870843,3.7635110511780586e-6,0.0020539361561804255
UGT1A1,104.69336137409259,-1.2059397500433933,0.3099727250091673,4.128748427192202e-6,0.0021849837131055947
B4GALNT2,127.52690048320046,-1.186447029712234,0.3057824504262328,4.308278902554565e-6,0.002212934786888615
KCNMA1,2161.393764752531,-0.7874781694748338,0.2018746611512608,4.448100442630761e-6,0.002214261684063845
SGK1,334.19290894364866,-1.2115519627187739,0.31386654776184375,4.56444231712657e-6,0.002214261684063845
AMER3,1004.8781843978628,0.8759946945180628,0.2293344461418028,6.045797771739125e-6,0.0028536165482608666
RGS10,253.19069357510648,1.0787448946511744,0.28510555925411324,6.5175469546272894e-6,0.0029953273688318677
SHROOM3,2472.9804790155235,-0.9350086871187849,0.24804272064805044,7.0033549309747184e-6,0.003136066423449807
ELOVL2,1366.2326432664186,-1.2178950351787559,0.32679154491685497,7.72760103790682e-6,0.0033738706131501177
EFNB3,152.51384723675986,1.0661116075556214,0.2865184993662018,8.450569598665037e-6,0.0035995304261240537
CUX2,182.19698244619647,-1.7897101670672042,0.4914750049160706,9.70953429393756e-6,0.0040373168311744175
RN7SL1,27833.828352218046,-1.12745652441299,0.30746054025787534,1.0292096960823592e-5,0.004180027472647052
MAF,1222.7048430178968,-1.564803918625217,0.43332344234010617,1.1145654468497006e-5,0.004423811582677994
HSPA2-AS1,80.64612199569056,-1.4855101486106768,0.4107368285610408,1.1520200613424988e-5,0.0044708618558412
ZBED6,47.7250856957996,-1.7763438101052216,0.4926106345854248,1.2058770030180534e-5,0.004492693060085877
TMCC3,942.3489532355421,-1.1235569089591446,0.3114247264863122,1.2258621213484577e-5,0.004492693060085877
RCN3,82.88588246453236,1.5867843513070086,0.44173351110144,1.2502682589035193e-5,0.004492693060085877
B3GNT6,28.256476004641566,-2.4023268515826928,0.6643496659731637,1.2605471824565275e-5,0.004492693060085877
CAPN8,123.14049758286903,-1.5081086093346652,0.4220227454386129,1.3090915357797076e-5,0.004572394916171362
MROH2A,131.0537726202745,-1.550056286348506,0.4354943136258603,1.3729395987485666e-5,0.004701375912263719
BEST2,380.00005796468673,-1.7869107629593801,0.5111743404046258,1.6526995309806233e-5,0.0055505278094318475
RLN2,132.38266175286455,1.1496510130244468,0.32694226744126753,1.749835088376184e-5,0.005765871694981448
RNA5SP118,6.839529455189212,-0.0490962014243519,0.1320523758189436,1.983649325460942e-5,0.006415268855527757
ERO1B,1316.5670984111675,-0.9907292325237933,0.2848544439232974,2.0334785340908982e-5,0.006456848930793353
RLN1,48.821582912526345,1.8704628306955093,0.5442412764343382,2.1858539930241894e-5,0.006816741809674007
TRIM49,41.87722235852742,1.6368682566103732,0.47588254265424196,2.308964066110225e-5,0.006994635127070227
KCNAB1,203.9560694168024,-1.1214892898311846,0.32652783437804417,2.3230006720686734e-5,0.006994635127070227
MTND1P8,75.40896429454432,-1.6301077061556661,0.481958044898582,2.641712766794707e-5,0.007770741748555531
C12orf75,2280.524986493378,0.8299403123671266,0.24232132571165904,2.6790184140239043e-5,0.007770741748555531
AGR3,36.64133676687515,-1.6921778407383459,0.5008776163508281,2.7142421361766346e-5,0.007770741748555531
DIAPH1-AS1,18.196498955380363,-3.184716403515422,0.9260879247724692,2.9161238275190805e-5,0.008214062342547294
PADI2,318.13499831979334,1.942242928715832,0.5829263975089042,3.0270682534871578e-5,0.008391225393476146
SLC15A2,195.74127087727382,-1.0762966205376923,0.32102386615836703,3.103659248119252e-5,0.008413282013274393
HEPACAM2,179.88624984093232,-1.5868033960293653,0.47759477948873846,3.1313750049406525e-5,0.008413282013274393
NTN4,71.1144977511058,-1.135658205515068,0.33997537165447794,3.2893133076966925e-5,0.008610361160207013
KCNMA1-AS1,26.1563726074543,-2.3432254077163455,0.704363067899507,3.3033337020949946e-5,0.008610361160207013
