theme,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,neglog10_padj,label
Estrogen receptor,STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA,0.01462135860276512,0.12901198767145694,0.3807304007227924,-0.6872814065127929,-1.6769575208818108,15,TIPARP;GREB1;RET;ABAT;MED13L,C2:CGP,0.8893699335947007,STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA
Estrogen receptor,STOSSI_RESPONSE_TO_ESTRADIOL,0.01291684373633991,0.11930559444835172,0.3807304007227924,-0.5643906411225112,-1.65425389047265,32,LRIG1;GREB1;PPP1R12B;PTGS2;ITGA6;HYAL1;PDZK1;CCN5;BIRC3;RHOBTB3;MSMB,C2:CGP,0.9233391910230146,STOSSI_RESPONSE_TO_ESTRADIOL
Estrogen receptor,LI_ESTROGENE_EARLY_E2_RESPONSE_UP,0.00551078011814857,0.0678054512233027,0.40701791892395395,-0.45079012253977446,-1.574668879698448,82,SGK1;ELOVL2;TIPARP;GREB1;USP31;RET;PRAG1;SLC22A5;MYBL1;LONRF2;PDZK1;RASGRP1;SFXN2;ADRB1;WWC1,C2:CGP,1.1687353895985362,LI_ESTROGENE_EARLY_E2_RESPONSE_UP
Estrogen receptor,FRASOR_RESPONSE_TO_ESTRADIOL_UP,0.02503571586573088,0.18233868347381743,0.35248785758361917,-0.5292802280573581,-1.5349823587539322,31,GREB1;RET;SLC22A5;MPPED2;MYBL1;CYP1A1;PDZK1;RASGRP1;CCN5;WWC1;SLC39A6;PTGER3,C2:CGP,0.7391211852286395,FRASOR_RESPONSE_TO_ESTRADIOL_UP
Estrogen receptor,DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP,0.00245363194333993,0.03784631593713244,0.4317076958033464,-0.3701252407855328,-1.472065322439712,215,MICAL2;LRIG1;SGK1;ELOVL2;NT5DC3;FKBP5;TIPARP;ABHD2;GREB1;USP31;RET;FARP1;SLC22A5;MACF1;SLC26A2;HIF1A;MYBL1;LONRF2;SFXN2;ENDOD1;TMEM120B;SYTL4;EXO1;NEMP1;IFNAR2;FRK;PXK;TMEM164;DDX21;C1QTNF6;AMD1;XRCC2;CCNE2;KIF21A;SEC14L2;LRRFIP2;RBL1;WDR4;CNKSR3;MMS22L;BRIP1;MCM10;ZNF367;BRCA1;PPAN;PHLDA1,C2:CGP,1.421976389507223,DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP
Estrogen receptor,GOZGIT_ESR1_TARGETS_UP,0.02253789721984862,0.17158878122895876,0.35248785758361917,-0.3791952866756746,-1.403879717370031,119,CYP4F8;MICAL2;ANPEP;STS;THSD7A;BMP2K;MMRN2;ACACB;DST;COL21A1;IGF2BP3;CLMP;ALDH3B1;CYRIA;FRY;WWC1;PLCL2;LAMB1,C2:CGP,0.7655111104828352,GOZGIT_ESR1_TARGETS_UP
Estrogen receptor,VANTVEER_BREAST_CANCER_ESR1_DN,0.00114338945248965,0.02145361797714243,0.45505986738722953,0.3703434845053888,1.5049902393813552,196,PADI2;KRT7;CX3CL1;CSRP2;TMEM45A;SEM1;TNFRSF21;CYB5R2;KCNN4;UQCRH;GAPDH;PDZK1IP1;ASS1;TMSB10;NMB;PHGDH;UCHL3;PKP1;SMCO4;BTG3;LDHB;TRIM29;DUSP9;CDK2AP1;YBX1;HEBP2;TRPV6;NFKBIE;FDX1;CENPA;CSTB;ENO1;TES;MRAS;CDH3;CDC20;PSAT1;GPRIN2;LMO4;RAB6B;TBPL1;PDCD5;PGM1;PFKP;RRP1;CCNB2;PIMREG;FABP7;MPZL1;DESI2;SLC35C1;RCAN1;DEF8;TMCC2;SERBP1;MYBL2;KCNK5;HDGF;SNN;LAD1;UGP2;CEBPG,C2:CGP,1.668499457091823,VANTVEER_BREAST_CANCER_ESR1_DN
Estrogen receptor,FRASOR_RESPONSE_TO_ESTRADIOL_DN,0.00982369757024673,0.09969316804469316,0.3807304007227924,0.4356584875414824,1.5302424677986184,72,CD24;KRT7;BIK;ENC1;MMD;DBN1;ABCG1;RND3;FOLH1;ARNT2;LITAF;H2AC20;INHBB;IER3;ERBB2;LAMB2;SMPD1;SELENBP1;MB;INPP5J;BCAS1;ANXA3;BMP4;CTSH,C2:CGP,1.0013346027932069,FRASOR_RESPONSE_TO_ESTRADIOL_DN
Estrogen receptor,LI_ESTROGENE_META_E2_RESPONSE_DN,0.01510755560474008,0.13169171878764618,0.3807304007227924,0.59646033940762,1.6366952070873542,22,BAMBI;BMF;BIK;ENC1;VTCN1;PPFIBP2,C2:CGP,0.8804415340580022,LI_ESTROGENE_META_E2_RESPONSE_DN
Estrogen receptor,LI_ESTROGENE_EARLY_E2_RESPONSE_DN,0.00243707725709806,0.03766784405004183,0.4317076958033464,0.4659785542413384,1.6491680452344912,73,ID1;BAMBI;CCN2;BMF;BIK;ENC1;ID3;EDN2;SH3BP4;AMIGO2;ID2;LYPD3;RND3;SMAD6;SOX2;PPFIBP2;S1PR3;ARL4D;RGS2,C2:CGP,1.4240292362863798,LI_ESTROGENE_EARLY_E2_RESPONSE_DN
Estrogen receptor,YANG_BREAST_CANCER_ESR1_DN,0.0084390284798131,0.09026008267471734,0.3807304007227924,0.6184075316831081,1.6744646356591588,21,MFAP2;CYB5R2;FABP5;BTG3;LDHB;RAP2B;CDH3,C2:CGP,1.0445042730188745,YANG_BREAST_CANCER_ESR1_DN
Estrogen receptor,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP,0.00567774203599539,0.06912709181991655,0.40701791892395395,0.51385717495332,1.6772764262167574,46,CKS2;HMGN2;PTTG1;ATF4;WNT11;UBE2S;UBE2M;NME1;COX7B;UBE2L3;SRM;CIRBP;SRSF2;YARS1;EIF5AL1;RBM3;MYC;CKB;HDGF;SNRPD3;CCNB1;TIMM44;CARS1;GARS1;AHSA1;SLC3A2;GPR161;ASNS;SLC7A5,C2:CGP,1.1603517135230292,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP
Estrogen receptor,BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN,2.2800954597807017e-4,0.00617212858903254,0.5188480777437918,0.4550187788912813,1.7170616078650722,108,RPL34;TMPRSS4;RPL31;RPL3;RPL26;MT1F;RPL12;LARP6;RPS2;RPL10A;PGLS;FANCF;NOP53;IGBP1;PRTFDC1;CCNB1IP1;BFSP1;AIG1;HERPUD1;NUPR1;VMO1;TRIB3;ATF4;METTL9;ABHD14B;ELAC1;DENND2D;ZNF581;PSAT1;DCN;B3GALT6;CIRBP;LCK;ZFAND1;ZNF490;DNASE2;THRA;RBM3;SESN2;LENG1;HLA-E;KRCC1;CRTAP;BAG1;SARS1,C2:CGP,2.209565034500412,BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
Estrogen receptor,LI_ESTROGENE_T47D_E2_RESPONSE_DN,0.00139591816029761,0.02484734325329755,0.45505986738722953,0.6149120945118792,1.8342885087580296,31,BTG1;CD24;CAMK2N1;PCED1B;AMIGO2;ARL4D;CRYM;WNT11;EGLN3;PCDH7;NANOS1,C2:CGP,1.604720040416154,LI_ESTROGENE_T47D_E2_RESPONSE_DN
Estrogen receptor,GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY,0.00110889885184973,0.02089456552179817,0.45505986738722953,0.7577236374964657,1.86587606037982,14,AKR1C2;AKR1C1;AKR1C3;AKR1C4;HSD17B10;HSD17B7;HSD17B6,C5:GO:MF,1.6799666550753856,GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY
Estrogen receptor,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,2.045671379805621e-7,1.4449583555769858e-5,0.6901324587967956,0.5647275258632927,2.087316320171012,95,BTG1;CYFIP2;RPL12;BTF3;NPC2;EIF3K;ATP5PO;PDLIM1;TMSB10;NME4;EEF1A1;HERPUD1;XBP1;ATP5MF;LITAF;EIF3F;LGALS1;COX6A1;SPCS2;ENO2;UBE2I;EIF3M;EIF4B;SEC61G;ATP6V1F;CAPNS1;UBE2S;H2AZ1;MORF4L2;CTDNEP1;AP3S1;LTA4H;PCBP2;MXI1;ARL6IP1;PHB2;COPE;PTPN6;SLC25A6,C2:CGP,4.840144669311404,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN
Insulin / Glucose,KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY,2.2372955844117865e-4,0.00607071057965393,0.5188480777437918,-0.8484754783279338,-1.9019029098339424,10,IGF1R;MTOR;PIK3CB;AKT3,C2:CP:KEGG_MEDICUS,2.21676047156708,KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY
Insulin / Glucose,WP_ROLES_OF_CERAMIDES_IN_DEVELOPMENT_OF_INSULIN_RESISTANCE,0.00938210051776497,0.09724459775789011,0.3807304007227924,-0.6409284663005603,-1.649928497748366,19,CD36;ERN1,C2:CP:WIKIPATHWAYS,1.0121345157514106,WP_ROLES_OF_CERAMIDES_IN_DEVELOPMENT_OF_INSULIN_RESISTANCE
Insulin / Glucose,REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R,0.01528740745717746,0.13265316188061044,0.3807304007227924,-0.5172843371590561,-1.5824039167989623,38,FGF22;IRS4;IGF1R;IGF1;PIK3CB,C2:CP:REACTOME,0.8772823938464769,REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECE...
Insulin / Glucose,KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY,0.02902130708512242,0.20017279751298592,0.35248785758361917,-0.6635011989760529,-1.5692361392701095,13,IGF1R;IGF1;MTOR;PIK3CB;AKT3,C2:CP:KEGG_MEDICUS,0.6985949413057128,KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY
Insulin / Glucose,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_DN,0.03654279596565659,0.23544706860111753,0.3217759180753611,0.325552943031388,1.2991238763956674,175,ID3;RPS16;EFNA3;UBA52;RPA3;CSRNP2;NDUFA3;EGR2;ZNF174;COMMD3;ZNF232;JAKMIP2;PNPLA4;GEMIN6;MED20;SOHLH2;CZIB;TMEM177;RABIF;SSBP2;HPCA;DPF1;CTF1;DENND2D;SDHAF1;ORMDL2;TM6SF2;ZBTB3;ZKSCAN4;DYNLRB1;ACTN2;RABEPK;RRAGA;TMEM223;SDF2;ING4;RNF167;TIMM8B;POLR3K;CD248;H4C3;CDC123;DNAL4;BET1;NOP10;MRPL17;LRRC20;LRRC75B;CHTOP;ERF;EPOR;NALF2;CBY1;FAM50B;CDH11;PPME1;IL11;UMPS;BOLA1;PIP5K1A;MTHFS;INO80B;ALKBH1;WDR5B;HDAC11;HINFP,C7:IMMUNESIGDB,0.628106712306772,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_DN
Insulin / Glucose,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP,0.02319642512937002,0.1746108122227741,0.35248785758361917,0.3315282456348383,1.3287300792692958,184,UQCRB;HLA-DQB1;NRGN;NACA;MMD;PARL;NDUFS4;BTF3;NENF;ATP5PO;CLNS1A;CD99;MGLL;UCHL3;MRPS15;PSMA1;MRPS10;MYL9;GNAZ;SUMO3;TRIAP1;PSME1;NDUFB5;NDUFA9;STYXL1;ATF4;PGRMC1;ATP5MG;RRAGC;COX5A;SMAD7;ATP5F1C;PLPBP;UBE2L3;SLC25A5;CMC4;RWDD1;UBE2D2;HTATIP2;OXA1L;MXI1;COX7A2;HIGD1A;YARS1;EIF3E;HEBP1;SMAD2;MYG1;PTP4A2;SERP1;ARL6IP5;CNOT7;JTB;STX8;SUCLG1;NDRG2,C7:IMMUNESIGDB,0.7579288674843891,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP
